house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
鼓楼-挹江门-圣淘沙花城,108.40㎡,南北,2室2厅2卫,中楼层（28层）,5500 元/月,NJ1660558420543012864,2022-07-28,118.75997084999,32.079555439856,整租,/精装/双卫生间/随时看房/,有,租用车位,民水,民电,有,暂无数据,2022-08-12 20:20:12,南京
鼓楼-华侨路-慈悲社,53.88㎡,南,2室1厅1卫,高楼层（6层）,4200 元/月,NJ1654820357170790400,2022-08-06,118.78635949036,32.050963037347,整租,/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:20:15,南京
鼓楼-湖南路-湖南路,54.00㎡,南,2室1厅1卫,中楼层（6层）,2900 元/月,NJ1654875460321935360,2022-08-09,118.788858,32.075041,整租,/近地铁/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:20:22,南京
鼓楼-热河南路-世茂璀璨滨江,114.41㎡,南,2室2厅1卫,低楼层（57层）,6800 元/月,NJ1654867878056296448,2022-08-01,118.74261519674,32.090105342503,整租,/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:20:31,南京
鼓楼-定淮门大街-新河二村,47.42㎡,南,2室0厅1卫,高楼层（4层）,2800 元/月,NJ1654807702968205312,2022-08-08,118.740863,32.072216,整租,/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:20:33,南京
鼓楼-凤凰西街-中海凤凰熙岸三期,95.60㎡,南,2室2厅1卫,高楼层（18层）,8500 元/月,NJ1668808291813163008,2022-08-11,118.765041,32.049859,整租,/新上/精装/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:20:43,南京
鼓楼-凤凰西街-天水滨江花园西苑,68.00㎡,南,2室1厅1卫,高楼层（20层）,4800 元/月,NJ1665326618102464512,2022-08-08,118.736055,32.046001,整租,/精装/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:20:48,南京
鼓楼-宁海路-上海路154至158号,75.00㎡,南,2室2厅1卫,低楼层（7层）,4400 元/月,NJ1665551011948789760,2022-08-02,118.78127470787,32.063107614429,整租,/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:20:53,南京
鼓楼-三牌楼-三步两桥,82.00㎡,南,2室1厅1卫,中楼层（9层）,4500 元/月,NJ1665571660121505792,2022-08-09,118.76885,32.078756,整租,/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:21:01,南京
鼓楼-五塘广场-汽轮五村,55.00㎡,南北,2室1厅1卫,高楼层（6层）,2000 元/月,NJ1665628293296029696,2022-08-05,118.78825141941,32.112398541696,整租,/近地铁/,无,暂无数据,暂无数据,暂无数据,有,暂无数据,2022-08-12 20:21:08,南京
